Date : 2024-11-13 01:12:54
Directory : /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios
Total : 44 files,  3974 codes, 333 comments, 483 blanks, all 4790 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Swift    |         40 |      3,913 |        333 |        479 |      4,725 |
| JSON     |          4 |         61 |          0 |          4 |         65 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/RSSFeedManager/RSSFeedGeneratorManager.swift         | Swift    |         45 |         18 |         13 |         76 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/RSSFeedManager/RSSFeedGeneratorModel.swift           | Swift    |         28 |          9 |          8 |         45 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/SharedStateManager/SharedStateFeature.swift          | Swift    |         91 |         12 |         18 |        121 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/AppDelegate.swift                                       | Swift    |         31 |          8 |         10 |         49 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/InjectionKey.swift                                      | Swift    |         26 |         12 |          6 |         44 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/Theme.swift                                             | Swift    |         37 |          6 |          7 |         50 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Preview Content/Preview Assets.xcassets/Contents.json         | JSON     |          6 |          0 |          1 |          7 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/RootModule.swift                                              | Swift    |         31 |          6 |          5 |         42 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Catagory/CategoryDetailsFeature.swift                 | Swift    |         43 |          6 |          7 |         56 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Catagory/CategoryDetailsView.swift                    | Swift    |         39 |          6 |          3 |         48 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Explore/DataSource/ExploreFeature.swift               | Swift    |        109 |          6 |          8 |        123 |
